Возраст,Пол,Уровень образования,Профессия,Опыт работы,Зарплата,Регион
40.0,женский,среднее общее,Финансовый аналитик,6,78785.0,Нижний Новгород
53.0,мужской,бакалавр,Маркетолог,24,96234.0,Санкт-Петербург
33.0,мужской,магистр,Системный администратор,38,51129.0,Москва
49.0,мужской,доктор наук,Учитель,37,85807.0,Санкт-Петербург
31.0,женский,бакалавр,Продуктовый менеджер,28,79502.0,Новосибирск
30.0,мужской,среднее общее,UX-дизайнер,10,103880.0,Санкт-Петербург
58.0,женский,доктор наук,Аналитик больших данных,24,62843.0,Казань
52.0,мужской,среднее профессиональное,Бухгалтер,19,48140.0,Санкт-Петербург
29.0,женский,бакалавр,Маркетолог,22,62645.0,Челябинск
28.0,женский,среднее общее,Бизнес-аналитик,38,55085.0,Москва
47.0,мужской,бакалавр,Финансовый аналитик,24,62038.0,Москва
56.0,мужской,магистр,Маркетолог,12,36179.0,Санкт-Петербург
39.0,женский,магистр,Девопс инженер,30,73278.0,Казань
34.0,женский,среднее профессиональное,Бухгалтер,12,54505.0,Челябинск
42.0,мужской,среднее общее,Маркетолог,1,51457.0,Нижний Новгород
41.0,мужской,магистр,Строитель,17,65766.0,Казань
31.0,мужской,бакалавр,UX-дизайнер,35,24754.0,
40.0,мужской,бакалавр,Строитель,37,68379.0,
26.0,мужской,среднее общее,Финансовый аналитик,33,69890.0,Москва
31.0,женский,бакалавр,Маркетолог,15,60891.0,Санкт-Петербург
35.0,мужской,среднее общее,Девопс инженер,7,86212.0,Москва
49.0,мужской,среднее общее,Инженер-программист,36,99320.0,Челябинск
23.0,женский,бакалавр,Актер,25,15839.0,Москва
44.0,мужской,бакалавр,Системный администратор,12,56938.0,Новосибирск
34.0,мужской,магистр,Дизайнер интерфейсов,10,61541.0,Челябинск
35.0,мужской,среднее профессиональное,Финансовый аналитик,12,57968.0,Казань
58.0,женский,среднее профессиональное,Программист,7,44895.0,Нижний Новгород
25.0,мужской,среднее общее,,1,47705.0,Санкт-Петербург
48.0,женский,магистр,Водитель,4,52069.0,Екатеринбург
34.0,женский,доктор наук,Аналитик больших данных,6,75163.0,Челябинск
28.0,женский,магистр,Диджитал-маркетолог,33,100726.0,Новосибирск
35.0,женский,магистр,Финансовый аналитик,37,96534.0,Казань
57.0,мужской,среднее профессиональное,Актер,5,24755.0,Нижний Новгород
38.0,женский,бакалавр,Инженер,7,34555.0,Москва
30.0,мужской,бакалавр,,3,57398.0,Челябинск
46.0,мужской,среднее профессиональное,Финансовый аналитик,32,27192.0,Москва
32.0,женский,бакалавр,Учитель,9,68638.0,Санкт-Петербург
52.0,женский,,Бухгалтер,20,31000.0,Новосибирск
46.0,женский,магистр,Учитель,3,75315.0,Новосибирск
55.0,мужской,среднее общее,Девопс инженер,13,60332.0,
24.0,мужской,бакалавр,Аналитик больших данных,34,88123.0,Санкт-Петербург
43.0,женский,среднее профессиональное,Врач,27,95437.0,Новосибирск
31.0,женский,магистр,UX-дизайнер,27,62132.0,Казань
32.0,женский,доктор наук,,33,75379.0,Екатеринбург
46.0,мужской,бакалавр,Системный администратор,4,69814.0,Москва
19.0,мужской,доктор наук,Дизайнер интерфейсов,4,55798.0,Москва
19.0,женский,доктор наук,Инженер,25,54799.0,Новосибирск
28.0,мужской,среднее общее,Девопс инженер,12,95006.0,Казань
54.0,мужской,магистр,Врач,14,24658.0,Челябинск
25.0,женский,среднее профессиональное,UX-дизайнер,32,119969.0,Москва
60.0,женский,магистр,Аналитик больших данных,17,48185.0,Москва
19.0,женский,доктор наук,Бухгалтер,29,57661.0,Москва
31.0,мужской,бакалавр,Девопс инженер,39,29087.0,
50.0,мужской,магистр,Программист,14,41331.0,Новосибирск
19.0,женский,бакалавр,Врач,33,45398.0,Санкт-Петербург
47.0,мужской,среднее общее,Бизнес-аналитик,7,82986.0,Москва
51.0,мужской,бакалавр,UX-дизайнер,21,45505.0,Санкт-Петербург
20.0,мужской,магистр,Аналитик больших данных,31,72802.0,
26.0,женский,среднее общее,Врач,31,27758.0,Москва
31.0,женский,среднее общее,Инженер,21,56372.0,Москва
52.0,мужской,магистр,UX-дизайнер,6,47631.0,Челябинск
29.0,мужской,среднее профессиональное,Финансовый аналитик,35,52181.0,Омск
32.0,женский,бакалавр,Диджитал-маркетолог,5,72942.0,Санкт-Петербург
40.0,мужской,среднее общее,Инженер-программист,10,45351.0,Москва
20.0,мужской,,Диджитал-маркетолог,9,80704.0,Омск
46.0,женский,среднее общее,Учитель,21,50140.0,Екатеринбург
23.0,женский,бакалавр,,1,31000.0,Москва
40.0,женский,,Маркетолог,12,77823.0,Санкт-Петербург
31.0,мужской,среднее общее,Бухгалтер,27,47508.0,Москва
39.0,мужской,магистр,Инженер,22,95657.0,Москва
32.0,женский,бакалавр,Бухгалтер,34,89885.0,Санкт-Петербург
59.0,женский,доктор наук,Врач,29,85584.0,Москва
49.0,женский,магистр,Маркетолог,33,54539.0,Казань
42.0,женский,магистр,Инженер-программист,32,49436.0,Санкт-Петербург
39.0,женский,,Бухгалтер,27,63575.0,Екатеринбург
70.0,мужской,,Продуктовый менеджер,7,21113.0,Челябинск
47.0,женский,бакалавр,Врач,35,57174.0,Челябинск
39.0,женский,бакалавр,Актер,8,83376.0,Санкт-Петербург
28.0,женский,бакалавр,Маркетолог,15,39649.0,Новосибирск
22.0,женский,доктор наук,Диджитал-маркетолог,13,48930.0,Челябинск
48.0,женский,среднее общее,Актер,39,67441.0,Москва
48.0,женский,среднее общее,Учитель,29,86982.0,Москва
39.0,женский,среднее общее,Инженер,16,85975.0,Москва
51.0,женский,бакалавр,UX-дизайнер,24,49784.0,Новосибирск
36.0,мужской,доктор наук,Инженер,18,66256.0,
37.0,мужской,среднее общее,Инженер-программист,20,88320.0,Нижний Новгород
39.0,женский,магистр,Врач,13,96278.0,Нижний Новгород
39.0,женский,среднее общее,Продуктовый менеджер,29,40422.0,Екатеринбург
51.0,мужской,магистр,UX-дизайнер,6,22757.0,Санкт-Петербург
28.0,женский,бакалавр,Строитель,20,31000.0,Нижний Новгород
21.0,женский,среднее общее,Продуктовый менеджер,8,40584.0,Санкт-Петербург
46.0,женский,бакалавр,Инженер-программист,12,105619.0,Москва
47.0,мужской,среднее профессиональное,Врач,10,69052.0,Нижний Новгород
44.0,мужской,бакалавр,Водитель,15,49410.0,Москва
35.0,женский,бакалавр,,16,31000.0,Москва
33.0,мужской,бакалавр,Врач,24,37588.0,Санкт-Петербург
32.0,мужской,бакалавр,,3,41119.0,Москва
46.0,женский,магистр,Маркетолог,6,46856.0,Нижний Новгород
27.0,мужской,среднее общее,Актер,37,79968.0,Екатеринбург
19.0,женский,магистр,Инженер,6,31000.0,Санкт-Петербург
32.0,женский,бакалавр,Аналитик больших данных,19,92023.0,Санкт-Петербург
22.0,мужской,бакалавр,Актер,21,41039.0,Санкт-Петербург
19.0,женский,,Строитель,16,40222.0,Москва
20.0,мужской,среднее общее,Инженер-программист,32,109407.0,Челябинск
20.0,мужской,магистр,Продуктовый менеджер,21,69933.0,Омск
54.0,мужской,доктор наук,Инженер-программист,10,45325.0,Челябинск
28.0,мужской,доктор наук,,9,34728.0,Новосибирск
22.0,мужской,магистр,Девопс инженер,3,50590.0,Новосибирск
33.0,женский,,Инженер,32,81906.0,Екатеринбург
42.0,мужской,магистр,Системный администратор,33,56215.0,Казань
18.0,женский,среднее профессиональное,Диджитал-маркетолог,37,73408.0,Москва
23.0,женский,,Девопс инженер,15,110478.0,Санкт-Петербург
70.0,женский,бакалавр,Аналитик больших данных,23,35896.0,Казань
48.0,женский,,Врач,17,75624.0,Челябинск
20.0,мужской,,Финансовый аналитик,11,67960.0,Казань
30.0,мужской,магистр,Девопс инженер,10,19785.0,Казань
39.0,мужской,среднее общее,Продуктовый менеджер,35,96919.0,Москва
48.0,мужской,магистр,Финансовый аналитик,26,106587.0,Екатеринбург
42.0,женский,бакалавр,UX-дизайнер,14,26370.0,Нижний Новгород
74.0,мужской,бакалавр,Системный администратор,23,114065.0,Новосибирск
34.0,мужской,бакалавр,UX-дизайнер,3,27532.0,Новосибирск
25.0,мужской,бакалавр,Девопс инженер,30,46459.0,Москва
29.0,мужской,бакалавр,,17,33904.0,Новосибирск
26.0,мужской,бакалавр,Диджитал-маркетолог,9,99609.0,Новосибирск
23.0,мужской,доктор наук,Инженер,18,36433.0,Новосибирск
22.0,женский,бакалавр,Маркетолог,13,30497.0,Новосибирск
19.0,женский,магистр,Продуктовый менеджер,22,37035.0,Москва
40.0,женский,доктор наук,,8,46182.0,Москва
49.0,женский,,Маркетолог,25,32653.0,Санкт-Петербург
27.0,женский,бакалавр,Инженер,10,88813.0,Москва
46.0,мужской,доктор наук,Программист,18,47479.0,Москва
28.0,мужской,магистр,UX-дизайнер,11,108898.0,Екатеринбург
40.0,женский,,Инженер,30,53553.0,Санкт-Петербург
40.0,мужской,среднее профессиональное,Инженер-программист,25,95724.0,Нижний Новгород
31.0,женский,среднее профессиональное,Аналитик больших данных,35,80026.0,Москва
27.0,мужской,магистр,Аналитик больших данных,34,57144.0,Казань
19.0,женский,бакалавр,Продуктовый менеджер,18,14420.0,Нижний Новгород
58.0,женский,среднее общее,Системный администратор,16,41725.0,Челябинск
32.0,мужской,магистр,Актер,37,64771.0,Москва
19.0,мужской,бакалавр,Аналитик больших данных,7,44553.0,Москва
42.0,мужской,доктор наук,Продуктовый менеджер,16,58832.0,Москва
22.0,мужской,доктор наук,Аналитик больших данных,35,31508.0,Санкт-Петербург
25.0,мужской,среднее общее,Бухгалтер,36,31071.0,
28.0,мужской,бакалавр,UX-дизайнер,1,47798.0,Москва
35.0,женский,среднее профессиональное,Продуктовый менеджер,24,96232.0,Екатеринбург
28.0,мужской,,Дизайнер интерфейсов,3,74457.0,Москва
42.0,мужской,бакалавр,,9,16282.0,Омск
49.0,мужской,среднее общее,Учитель,28,107293.0,Новосибирск
31.0,мужской,среднее общее,Водитель,28,70068.0,Москва
38.0,мужской,магистр,Системный администратор,8,33466.0,Санкт-Петербург
22.0,мужской,бакалавр,Девопс инженер,18,42037.0,Москва
33.0,женский,доктор наук,UX-дизайнер,33,80100.0,Челябинск
41.0,мужской,магистр,,3,84056.0,Челябинск
43.0,мужской,среднее общее,Бизнес-аналитик,14,58192.0,Челябинск
47.0,женский,среднее общее,Диджитал-маркетолог,11,53409.0,Екатеринбург
35.0,мужской,среднее общее,Учитель,12,77510.0,Санкт-Петербург
40.0,мужской,среднее профессиональное,Продуктовый менеджер,7,114804.0,Омск
38.0,женский,бакалавр,Бизнес-аналитик,26,70814.0,Екатеринбург
19.0,женский,бакалавр,Строитель,14,63097.0,Санкт-Петербург
18.0,женский,среднее общее,Бизнес-аналитик,25,65554.0,Санкт-Петербург
48.0,мужской,среднее общее,Водитель,6,45111.0,Челябинск
29.0,женский,бакалавр,Бизнес-аналитик,15,84536.0,Екатеринбург
23.0,мужской,бакалавр,Бизнес-аналитик,21,103663.0,Нижний Новгород
35.0,женский,среднее общее,,26,56223.0,Москва
19.0,мужской,бакалавр,Финансовый аналитик,34,118719.0,Новосибирск
29.0,женский,бакалавр,Продуктовый менеджер,39,23162.0,Казань
37.0,мужской,среднее общее,Врач,1,69934.0,Новосибирск
56.0,женский,бакалавр,Актер,32,92006.0,Москва
24.0,женский,среднее общее,Строитель,22,55722.0,Челябинск
56.0,мужской,доктор наук,Врач,8,118179.0,Москва
36.0,мужской,доктор наук,Водитель,36,20465.0,Москва
40.0,женский,магистр,Дизайнер интерфейсов,7,64377.0,Новосибирск
28.0,мужской,бакалавр,Актер,31,46855.0,Москва
18.0,мужской,бакалавр,Программист,1,79040.0,Санкт-Петербург
57.0,женский,доктор наук,Врач,4,16630.0,Санкт-Петербург
39.0,женский,среднее профессиональное,Бухгалтер,7,82956.0,Нижний Новгород
35.0,женский,магистр,Строитель,2,47880.0,Казань
33.0,мужской,бакалавр,Инженер-программист,29,108310.0,Москва
36.0,женский,среднее общее,Бухгалтер,19,23047.0,Москва
62.0,женский,доктор наук,,30,22136.0,Новосибирск
41.0,мужской,доктор наук,Системный администратор,19,24342.0,Санкт-Петербург
42.0,мужской,бакалавр,Финансовый аналитик,26,59713.0,Нижний Новгород
26.0,мужской,среднее общее,Девопс инженер,31,125881.0,Новосибирск
31.0,женский,среднее профессиональное,Строитель,6,44161.0,Санкт-Петербург
36.0,мужской,среднее общее,Инженер,22,42695.0,Новосибирск
64.0,женский,среднее общее,Финансовый аналитик,33,59994.0,Челябинск
41.0,мужской,среднее общее,Строитель,7,50257.0,Челябинск
34.0,мужской,бакалавр,,35,54095.0,
35.0,мужской,доктор наук,Врач,18,82649.0,Казань
43.0,женский,среднее профессиональное,Финансовый аналитик,32,101002.0,Челябинск
54.0,мужской,среднее профессиональное,Водитель,27,20047.0,Москва
53.0,женский,среднее общее,Аналитик больших данных,1,19550.0,
56.0,женский,бакалавр,Диджитал-маркетолог,4,66940.0,Санкт-Петербург
41.0,женский,магистр,Диджитал-маркетолог,29,54786.0,Челябинск
41.0,мужской,бакалавр,Актер,38,74882.0,Челябинск
38.0,женский,магистр,Водитель,18,56268.0,Москва
33.0,женский,бакалавр,Маркетолог,4,72453.0,Новосибирск
57.0,мужской,бакалавр,Продуктовый менеджер,39,20388.0,Екатеринбург
46.0,женский,доктор наук,Бухгалтер,21,50957.0,Санкт-Петербург
39.0,женский,,,20,41012.0,Москва
44.0,мужской,доктор наук,Финансовый аналитик,15,54195.0,Москва
20.0,мужской,магистр,Диджитал-маркетолог,22,68776.0,Новосибирск
22.0,женский,среднее профессиональное,Маркетолог,9,55795.0,Санкт-Петербург
23.0,мужской,среднее профессиональное,,2,64494.0,Екатеринбург
41.0,женский,бакалавр,Инженер,7,87831.0,Новосибирск
56.0,женский,бакалавр,Водитель,25,40754.0,Москва
25.0,мужской,бакалавр,Системный администратор,11,74338.0,Санкт-Петербург
44.0,женский,бакалавр,Бухгалтер,35,69707.0,Челябинск
34.0,мужской,доктор наук,UX-дизайнер,25,64654.0,Омск
45.0,женский,магистр,Инженер,29,32986.0,Новосибирск
39.0,женский,среднее профессиональное,Актер,39,31698.0,Санкт-Петербург
31.0,мужской,магистр,Диджитал-маркетолог,12,72859.0,Екатеринбург
30.0,мужской,среднее общее,Бизнес-аналитик,14,31000.0,Нижний Новгород
37.0,мужской,среднее общее,Водитель,20,56704.0,Казань
39.0,мужской,среднее общее,Маркетолог,8,32561.0,Екатеринбург
19.0,мужской,магистр,Врач,21,27208.0,Москва
34.0,женский,бакалавр,Инженер,38,86835.0,Нижний Новгород
38.0,мужской,среднее профессиональное,Маркетолог,27,31000.0,Новосибирск
28.0,мужской,среднее общее,Строитель,36,104632.0,
29.0,женский,бакалавр,Финансовый аналитик,11,52218.0,Санкт-Петербург
32.0,женский,магистр,Системный администратор,38,59686.0,Новосибирск
31.0,женский,бакалавр,Маркетолог,18,53891.0,Санкт-Петербург
38.0,мужской,бакалавр,Дизайнер интерфейсов,24,31000.0,Москва
31.0,женский,среднее общее,Инженер,4,82994.0,Екатеринбург
19.0,мужской,магистр,Бухгалтер,23,77677.0,Санкт-Петербург
31.0,мужской,бакалавр,Девопс инженер,26,13662.0,Москва
58.0,женский,среднее общее,Продуктовый менеджер,12,62399.0,Санкт-Петербург
23.0,мужской,среднее общее,Бизнес-аналитик,8,78075.0,Москва
24.0,женский,среднее общее,Бухгалтер,31,53026.0,Москва
39.0,женский,бакалавр,Бухгалтер,28,20861.0,Омск
36.0,женский,бакалавр,,12,49568.0,Санкт-Петербург
51.0,мужской,бакалавр,Продуктовый менеджер,21,51559.0,
48.0,женский,доктор наук,,13,56683.0,
59.0,женский,доктор наук,,21,62397.0,Екатеринбург
49.0,мужской,среднее общее,Врач,20,70946.0,
47.0,женский,магистр,Водитель,22,31000.0,Москва
54.0,женский,среднее общее,Бизнес-аналитик,22,106890.0,Санкт-Петербург
42.0,женский,бакалавр,Маркетолог,1,66305.0,Челябинск
31.0,женский,магистр,Аналитик больших данных,9,120598.0,Челябинск
29.0,мужской,среднее общее,Маркетолог,18,40773.0,Санкт-Петербург
33.0,мужской,среднее общее,Бизнес-аналитик,27,109514.0,Москва
23.0,мужской,магистр,Актер,25,71097.0,Москва
25.0,женский,бакалавр,Диджитал-маркетолог,9,71966.0,Москва
35.0,женский,бакалавр,Маркетолог,37,57729.0,Екатеринбург
54.0,мужской,бакалавр,Инженер-программист,12,21217.0,Санкт-Петербург
44.0,женский,бакалавр,Водитель,6,59473.0,Омск
50.0,мужской,бакалавр,Актер,11,44120.0,Новосибирск
39.0,женский,доктор наук,Программист,29,71486.0,Нижний Новгород
40.0,мужской,бакалавр,Бухгалтер,2,95581.0,Новосибирск
23.0,женский,среднее профессиональное,Актер,16,67481.0,Казань
29.0,мужской,бакалавр,Строитель,39,54369.0,Новосибирск
28.0,мужской,,Системный администратор,14,69572.0,Москва
26.0,мужской,бакалавр,Финансовый аналитик,26,40692.0,Казань
37.0,мужской,среднее общее,Продуктовый менеджер,22,65975.0,Москва
22.0,мужской,доктор наук,Строитель,34,56174.0,Москва
38.0,мужской,среднее общее,Бухгалтер,30,62273.0,Новосибирск
27.0,женский,бакалавр,Маркетолог,27,40701.0,Нижний Новгород
53.0,женский,среднее профессиональное,Бухгалтер,14,120979.0,Нижний Новгород
40.0,женский,доктор наук,Диджитал-маркетолог,36,103795.0,Казань
53.0,женский,магистр,Аналитик больших данных,31,58355.0,Москва
,женский,магистр,Аналитик больших данных,19,56955.0,Новосибирск
33.0,мужской,магистр,Учитель,17,97047.0,Екатеринбург
52.0,мужской,магистр,Инженер,8,14530.0,Санкт-Петербург
46.0,мужской,магистр,Дизайнер интерфейсов,12,62622.0,Санкт-Петербург
51.0,мужской,магистр,Девопс инженер,2,97023.0,Санкт-Петербург
56.0,женский,бакалавр,Врач,29,89014.0,
30.0,мужской,бакалавр,,23,145902.0,Санкт-Петербург
23.0,мужской,магистр,Инженер,15,45829.0,Москва
34.0,мужской,среднее общее,Системный администратор,32,55742.0,Екатеринбург
36.0,мужской,среднее общее,Девопс инженер,38,39647.0,Москва
38.0,мужской,магистр,Актер,3,46450.0,Омск
22.0,женский,бакалавр,Системный администратор,30,106874.0,
23.0,женский,среднее общее,Врач,15,32186.0,Челябинск
41.0,мужской,магистр,Девопс инженер,39,74581.0,Санкт-Петербург
27.0,мужской,доктор наук,Продуктовый менеджер,29,31000.0,Новосибирск
38.0,мужской,,Аналитик больших данных,2,58389.0,Казань
22.0,мужской,,,26,74641.0,Москва
32.0,женский,бакалавр,Системный администратор,18,123174.0,Москва
27.0,женский,доктор наук,Учитель,37,92201.0,Екатеринбург
54.0,мужской,магистр,Актер,30,81554.0,Москва
29.0,мужской,магистр,Бизнес-аналитик,23,49857.0,Челябинск
43.0,женский,бакалавр,Актер,30,73511.0,Новосибирск
40.0,женский,,Врач,31,60233.0,Нижний Новгород
69.0,мужской,,Актер,15,65917.0,Омск
28.0,женский,,Бизнес-аналитик,38,74926.0,Москва
18.0,мужской,бакалавр,Системный администратор,32,90339.0,Казань
44.0,мужской,магистр,Системный администратор,38,83569.0,Санкт-Петербург
,мужской,среднее общее,Инженер,27,64704.0,Санкт-Петербург
53.0,мужской,бакалавр,Водитель,27,94155.0,Москва
26.0,мужской,среднее профессиональное,Финансовый аналитик,23,105644.0,Екатеринбург
36.0,мужской,бакалавр,,29,57119.0,Москва
27.0,женский,магистр,,8,18981.0,Москва
46.0,мужской,среднее общее,Строитель,38,72130.0,Екатеринбург
51.0,мужской,среднее профессиональное,Маркетолог,8,96333.0,Москва
43.0,женский,магистр,Продуктовый менеджер,33,27804.0,Санкт-Петербург
20.0,женский,бакалавр,Бухгалтер,39,45937.0,Санкт-Петербург
24.0,женский,магистр,Водитель,14,85823.0,Нижний Новгород
33.0,мужской,среднее общее,UX-дизайнер,31,97776.0,Екатеринбург
31.0,мужской,магистр,Продуктовый менеджер,30,54236.0,Москва
60.0,мужской,бакалавр,Диджитал-маркетолог,1,76289.0,Москва
26.0,женский,среднее общее,Учитель,5,28640.0,
47.0,мужской,среднее профессиональное,Аналитик больших данных,16,47479.0,Москва
51.0,мужской,магистр,Диджитал-маркетолог,34,26394.0,Омск
40.0,мужской,,Дизайнер интерфейсов,38,31000.0,Казань
19.0,женский,среднее профессиональное,Учитель,34,58529.0,Москва
19.0,женский,доктор наук,UX-дизайнер,10,35687.0,Челябинск
38.0,женский,магистр,Инженер,19,95884.0,Омск
27.0,мужской,бакалавр,Финансовый аналитик,32,75696.0,Санкт-Петербург
69.0,женский,бакалавр,Программист,36,33917.0,Новосибирск
35.0,мужской,магистр,Инженер-программист,9,53097.0,Нижний Новгород
45.0,мужской,магистр,Учитель,3,53765.0,Санкт-Петербург
39.0,женский,магистр,Инженер,4,53969.0,Казань
51.0,мужской,бакалавр,Аналитик больших данных,10,54973.0,Челябинск
27.0,мужской,магистр,Водитель,39,141966.0,Новосибирск
38.0,мужской,среднее профессиональное,Врач,27,31000.0,Новосибирск
33.0,женский,магистр,Водитель,36,96583.0,Челябинск
46.0,мужской,бакалавр,Бизнес-аналитик,38,61145.0,Москва
35.0,женский,магистр,Бизнес-аналитик,39,67050.0,Новосибирск
31.0,мужской,среднее общее,Программист,27,41144.0,Нижний Новгород
35.0,мужской,бакалавр,Врач,17,75611.0,Екатеринбург
41.0,мужской,среднее профессиональное,Девопс инженер,28,46280.0,Казань
36.0,мужской,магистр,UX-дизайнер,22,130288.0,Москва
37.0,мужской,магистр,UX-дизайнер,36,30797.0,Новосибирск
30.0,женский,бакалавр,Актер,22,46552.0,Новосибирск
43.0,мужской,магистр,Учитель,34,60522.0,Москва
39.0,женский,магистр,Диджитал-маркетолог,9,28310.0,Казань
42.0,мужской,среднее профессиональное,Бухгалтер,4,71632.0,Казань
64.0,женский,,Учитель,34,78787.0,Санкт-Петербург
32.0,мужской,бакалавр,Инженер,4,80005.0,Казань
36.0,мужской,среднее общее,Водитель,3,85939.0,Нижний Новгород
23.0,женский,доктор наук,Маркетолог,9,20374.0,Москва
62.0,мужской,бакалавр,Бухгалтер,21,82298.0,Казань
42.0,женский,среднее профессиональное,Диджитал-маркетолог,25,110601.0,Москва
29.0,женский,магистр,,17,41890.0,Москва
31.0,мужской,среднее профессиональное,Продуктовый менеджер,4,25310.0,Новосибирск
51.0,мужской,среднее профессиональное,Дизайнер интерфейсов,28,31000.0,Казань
40.0,женский,бакалавр,Инженер-программист,21,59268.0,Санкт-Петербург
25.0,мужской,доктор наук,Продуктовый менеджер,6,66417.0,Челябинск
31.0,женский,среднее общее,Аналитик больших данных,30,77914.0,Санкт-Петербург
31.0,мужской,бакалавр,Дизайнер интерфейсов,3,77492.0,Санкт-Петербург
42.0,мужской,бакалавр,Маркетолог,21,58900.0,Омск
29.0,женский,магистр,Дизайнер интерфейсов,26,76659.0,
44.0,мужской,среднее профессиональное,Финансовый аналитик,12,30163.0,Новосибирск
29.0,мужской,среднее общее,,30,38373.0,Челябинск
22.0,женский,среднее общее,Актер,20,65458.0,Москва
42.0,мужской,доктор наук,Инженер-программист,18,53962.0,Москва
42.0,мужской,магистр,Строитель,25,71698.0,Москва
41.0,женский,среднее общее,Аналитик больших данных,20,34124.0,Москва
33.0,женский,бакалавр,Инженер,14,43342.0,Санкт-Петербург
36.0,мужской,среднее общее,Бухгалтер,17,28119.0,Челябинск
22.0,женский,бакалавр,Системный администратор,30,60318.0,Москва
43.0,женский,среднее профессиональное,Программист,1,77980.0,Нижний Новгород
50.0,женский,среднее профессиональное,Инженер-программист,3,24837.0,Казань
39.0,мужской,доктор наук,Продуктовый менеджер,10,43735.0,Омск
19.0,женский,среднее общее,Продуктовый менеджер,15,47996.0,Нижний Новгород
69.0,мужской,,Водитель,17,30442.0,Нижний Новгород
49.0,мужской,,Бизнес-аналитик,10,109479.0,Санкт-Петербург
34.0,женский,,Инженер,17,69229.0,Санкт-Петербург
34.0,женский,,Врач,10,59898.0,Москва
25.0,женский,среднее общее,Актер,19,16154.0,Екатеринбург
43.0,мужской,магистр,Водитель,39,93273.0,Санкт-Петербург
44.0,мужской,среднее профессиональное,Бизнес-аналитик,1,76648.0,Екатеринбург
31.0,мужской,,Водитель,12,75406.0,Москва
41.0,мужской,среднее общее,Аналитик больших данных,11,41740.0,Челябинск
36.0,мужской,среднее профессиональное,Маркетолог,3,52509.0,Москва
50.0,женский,магистр,UX-дизайнер,13,96278.0,Санкт-Петербург
28.0,женский,бакалавр,Программист,20,88366.0,Новосибирск
67.0,мужской,бакалавр,Продуктовый менеджер,39,28691.0,Нижний Новгород
47.0,женский,среднее профессиональное,Аналитик больших данных,36,48301.0,Москва
41.0,женский,среднее общее,Врач,11,55623.0,Екатеринбург
28.0,женский,доктор наук,Маркетолог,37,77147.0,Казань
50.0,женский,доктор наук,UX-дизайнер,1,37986.0,Москва
49.0,мужской,среднее общее,Актер,7,64090.0,Казань
68.0,мужской,доктор наук,Программист,18,47932.0,Нижний Новгород
26.0,женский,среднее общее,UX-дизайнер,19,72826.0,Челябинск
39.0,мужской,магистр,Строитель,15,69842.0,Нижний Новгород
38.0,женский,среднее общее,Инженер,29,62338.0,Москва
39.0,женский,среднее общее,Бухгалтер,36,45404.0,Санкт-Петербург
54.0,женский,магистр,Бизнес-аналитик,33,22588.0,
23.0,мужской,доктор наук,Программист,8,55380.0,Екатеринбург
49.0,женский,бакалавр,Бизнес-аналитик,19,31000.0,Нижний Новгород
31.0,мужской,среднее общее,UX-дизайнер,31,34646.0,Москва
27.0,мужской,бакалавр,UX-дизайнер,32,108447.0,Санкт-Петербург
36.0,мужской,доктор наук,Водитель,19,106821.0,Санкт-Петербург
56.0,мужской,,Аналитик больших данных,2,55898.0,Москва
37.0,мужской,бакалавр,Дизайнер интерфейсов,11,69008.0,Москва
37.0,мужской,,Бизнес-аналитик,11,100936.0,Челябинск
31.0,женский,среднее общее,Продуктовый менеджер,3,83421.0,Санкт-Петербург
54.0,женский,бакалавр,Дизайнер интерфейсов,21,93159.0,Новосибирск
29.0,женский,среднее общее,Девопс инженер,14,65936.0,Москва
35.0,женский,бакалавр,UX-дизайнер,28,109853.0,Москва
41.0,мужской,бакалавр,Учитель,9,67837.0,Екатеринбург
44.0,мужской,магистр,Бизнес-аналитик,37,80344.0,Екатеринбург
61.0,женский,бакалавр,Инженер-программист,1,87953.0,Санкт-Петербург
25.0,женский,,,8,89736.0,
48.0,женский,среднее профессиональное,Бизнес-аналитик,19,61813.0,Москва
58.0,мужской,бакалавр,Строитель,26,81687.0,Москва
34.0,мужской,бакалавр,Инженер-программист,7,33304.0,Москва
43.0,женский,среднее профессиональное,Системный администратор,33,63635.0,Челябинск
44.0,женский,бакалавр,Бизнес-аналитик,13,26302.0,Казань
43.0,женский,среднее общее,Бизнес-аналитик,33,44905.0,Нижний Новгород
31.0,мужской,магистр,Водитель,33,125917.0,Санкт-Петербург
42.0,мужской,магистр,Инженер-программист,7,20553.0,Москва
31.0,женский,доктор наук,Бухгалтер,35,47750.0,Казань
48.0,женский,магистр,Девопс инженер,8,45322.0,Екатеринбург
55.0,мужской,магистр,Программист,19,52178.0,Омск
43.0,мужской,доктор наук,UX-дизайнер,14,72089.0,Новосибирск
52.0,мужской,среднее общее,Бизнес-аналитик,25,39652.0,Санкт-Петербург
22.0,мужской,бакалавр,Учитель,5,39402.0,
69.0,женский,среднее общее,Системный администратор,13,91629.0,
48.0,мужской,,Инженер,32,44366.0,Екатеринбург
46.0,женский,,Аналитик больших данных,2,81245.0,Омск
36.0,женский,среднее общее,Диджитал-маркетолог,3,90855.0,Омск
49.0,мужской,,Девопс инженер,27,64251.0,Казань
39.0,мужской,бакалавр,Инженер-программист,16,93317.0,
52.0,мужской,бакалавр,UX-дизайнер,14,30748.0,Санкт-Петербург
